--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
ROOST_oqmd_eform_LayerOutput_#36                             0.000975        0.186931        Yes                           
MEGNet_MatMinerEncoded_v1_293                                0.000971        -0.002086       No                            
MVL32_Bandgap_classifier_MP_2018_28                          0.000971        -0.017568       No                            
MVL16_Bandgap_MP_2018_7                                      0.000971        -0.039696       No                            
MEGNet_MatMinerEncoded_v1_95                                 0.000970        0.141637        Yes                           
MEGNet_MatMinerEncoded_v1_701                                0.000970        -0.013860       No                            
MEGNet_MatMinerEncoded_v1_641                                0.000968        0.055217        No                            
MEGNet_MatMinerEncoded_v1_52                                 0.000967        0.006964        No                            
MEGNet_MatMinerEncoded_v1_646                                0.000965        -0.013884       No                            
ROOST_oqmd_eform_LayerMaterialPooling_#18                    0.000965        0.138601        Yes                           
SISSO_matbench_log_gvrh_19                                   0.000964        0.000388        No                            
MEGNet_MatMinerEncoded_v1_332                                0.000962        0.006113        No                            
MVL32_Bandgap_classifier_MP_2018_32                          0.000960        -0.029850       No                            
MEGNet_OFMEncoded_v1_176                                     0.000960        0.174372        Yes                           
MEGNet_MatMinerEncoded_v1_455                                0.000959        0.098836        No                            
MEGNet_OFMEncoded_v1_130                                     0.000959        -0.180851       Yes                           
MEGNet_OFMEncoded_v1_26                                      0.000956        -0.019388       No                            
MVL16_Efermi_MP_2019_13                                      0.000955        0.134997        Yes                           
MVL32_Bandgap_MP_2018_31                                     0.000954        -0.023346       No                            
MVL32_Eform_MP_2019_18                                       0.000953        0.013668        No                            
MEGNet_MatMinerEncoded_v1_215                                0.000951        0.103042        Yes                           
MEGNet_MatMinerEncoded_v1_221                                0.000950        0.075463        No                            
MEGNet_MatMinerEncoded_v1_456                                0.000949        -0.002477       No                            
MEGNet_MatMinerEncoded_v1_727                                0.000949        -0.096230       No                            
MVL32_Bandgap_classifier_MP_2018_29                          0.000949        0.050318        No                            
ROOST_oqmd_eform_LayerMaterialPooling_#19                    0.000947        -0.196058       Yes                           
MEGNet_MatMinerEncoded_v1_624                                0.000947        -0.052560       No                            
MEGNet_MatMinerEncoded_v1_512                                0.000945        0.143057        Yes                           
MVL32_Eform_MP_2019_13                                       0.000945        -0.101970       Yes                           
MVL16_Eform_MP_2019_4                                        0.000943        0.150261        Yes                           
MVL32_Bandgap_MP_2018_22                                     0.000942        0.012652        No                            
ROOST_oqmd_eform_LayerMaterialPooling_#58                    0.000942        0.019714        No                            
MEGNet_MatMinerEncoded_v1_316                                0.000940        0.064902        No                            
MVL32_Eform_MP_2019_27                                       0.000940        -0.013394       No                            
MVL32_Bandgap_MP_2018_10                                     0.000939        -0.005736       No                            
MVL16_Bandgap_MP_2018_12                                     0.000938        -0.068860       No                            
MEGNet_MatMinerEncoded_v1_173                                0.000937        -0.022240       No                            
MEGNet_MatMinerEncoded_v1_48                                 0.000936        -0.137246       Yes                           
MVL32_logG_MP_2019_22                                        0.000935        0.031488        No                            
MEGNet_MatMinerEncoded_v1_249                                0.000933        0.116866        Yes                           
MEGNet_MatMinerEncoded_v1_594                                0.000932        0.170929        Yes                           
SISSO_matbench_mp_e_form_11                                  0.000932        -0.077202       No                            
MVL16_Eform_MP_2019_13                                       0.000932        -0.040901       No                            
MVL32_Bandgap_classifier_MP_2018_15                          0.000929        0.030518        No                            
MEGNet_OFMEncoded_v1_34                                      0.000929        0.076863        No                            
SISSO_matbench_glass_13                                      0.000927        0.104052        Yes                           
MEGNet_MatMinerEncoded_v1_581                                0.000925        -0.055663       No                            
MVL32_Efermi_MP_2019_30                                      0.000924        0.000605        No                            
MEGNet_OFMEncoded_v1_3                                       0.000924        -0.059788       No                            
MVL16_logG_MP_2019_10                                        0.000922        0.164681        Yes                           
MEGNet_OFMEncoded_v1_79                                      0.000921        -0.075409       No                            
SISSO_matbench_mp_e_form_4                                   0.000920        0.044800        No                            
MEGNet_MatMinerEncoded_v1_550                                0.000919        0.057804        No                            
SISSO_matbench_jdft2d_20                                     0.000917        0.136937        Yes                           
