--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
SISSOlvl2_clustertop_coGNperovsk_17                          0.005354        -0.151149       Yes                           
coGN_ReadoutComponent1_Feature32_fold0                       0.005351        -0.043901       No                            
coGN_ReadoutComponent3_Feature13_fold0                       0.005329        -0.041829       No                            
coGN_ReadoutComponent2_Feature86_fold0                       0.005329        0.167097        Yes                           
coGN_ReadoutComponent1_Feature71_fold0                       0.005324        0.029196        No                            
ORB_v3_initial_atom_embedding_146                            0.005323        -0.124169       Yes                           
coGN_ReadoutComponent3_Feature94_fold0                       0.005321        0.020985        No                            
SISSOresiduals_MVcoGNmodel_low_full                          0.005310        0.055723        No                            
coGN_ReadoutComponent1_Feature17_fold0                       0.005309        0.094520        No                            
ORB_v3_layer_3_170                                           0.005304        -0.051869       No                            
coGN_ReadoutComponent1_Feature40_fold0                       0.005304        0.050719        No                            
coGN_ReadoutComponent2_Feature121_fold0                      0.005293        -0.145629       Yes                           
coGN_ReadoutComponent2_Feature96_fold0                       0.005265        0.180660        Yes                           
ORB_v3_initial_atom_embedding_169                            0.005257        -0.049409       No                            
ORB_v3_initial_atom_embedding_161                            0.005241        0.002096        No                            
coGN_ReadoutComponent4_Feature106_fold0                      0.005240        -0.181460       Yes                           
ORB_v3_layer_2_29                                            0.005240        -0.138088       Yes                           
coGN_ReadoutComponent2_Feature13_fold0                       0.005239        0.296515        Yes                           
coGN_ReadoutComponent1_Feature66_fold0                       0.005225        -0.088598       No                            
coGN_ReadoutComponent3_Feature101_fold0                      0.005222        0.000851        No                            
ORB_v3_initial_atom_embedding_48                             0.005217        0.015329        No                            
coGN_ReadoutComponent4_Feature60_fold0                       0.005195        -0.239545       Yes                           
XRDPowderPattern_xrd_124                                     0.005194        0.070550        No                            
SISSOlvl2_clustertop_coGNperovsk_30                          0.005151        -0.164582       Yes                           
coGN_ReadoutComponent1_Feature86_fold0                       0.005145        0.171122        Yes                           
coGN_ReadoutComponent1_Feature95_fold0                       0.005131        0.142899        Yes                           
coGN_ReadoutComponent3_Feature99_fold0                       0.005125        -0.103388       Yes                           
coGN_ReadoutComponent2_Feature73_fold0                       0.005124        -0.194220       Yes                           
coGN_ReadoutComponent2_Feature39_fold0                       0.005108        0.096658        No                            
ORB_v3_layer_3_198                                           0.005096        0.181752        Yes                           
ORB_v3_layer_3_252                                           0.005094        0.037420        No                            
coGN_ReadoutComponent1_Feature109_fold0                      0.005085        0.054497        No                            
ORB_v3_layer_2_191                                           0.005083        -0.010375       No                            
ORB_v3_layer_1_28                                            0.005076        -0.167533       Yes                           
coGN_ReadoutComponent1_Feature115_fold0                      0.005074        0.096952        No                            
ORB_v3_layer_1_221                                           0.005050        0.131426        Yes                           
coGN_ReadoutComponent3_Feature92_fold0                       0.005039        0.192879        Yes                           
coGN_ReadoutComponent2_Feature78_fold0                       0.005031        -0.183397       Yes                           
ORB_v3_initial_atom_embedding_114                            0.005008        0.031007        No                            
ORB_v3_layer_1_27                                            0.004999        -0.056975       No                            
coGN_ReadoutComponent3_Feature8_fold0                        0.004999        0.177430        Yes                           
ORB_v3_initial_atom_embedding_152                            0.004996        -0.215526       Yes                           
coGN_ReadoutComponent3_Feature84_fold0                       0.004993        -0.271700       Yes                           
coGN_ReadoutComponent2_Feature6_fold0                        0.004988        -0.096077       No                            
ORB_v3_layer_3_97                                            0.004974        0.109292        Yes                           
coGN_ReadoutComponent2_Feature42_fold0                       0.004968        0.162123        Yes                           
coGN_ReadoutComponent3_Feature33_fold0                       0.004958        -0.149546       Yes                           
ORB_v3_layer_2_95                                            0.004907        -0.187795       Yes                           
coGN_ReadoutComponent1_Feature120_fold0                      0.004904        0.110340        Yes                           
ORB_v3_layer_3_13                                            0.004901        -0.054934       No                            
coGN_ReadoutComponent4_Feature86_fold0                       0.004899        0.184507        Yes                           
ORB_v3_initial_atom_embedding_13                             0.004893        -0.110404       Yes                           
ROOST_mpgap_LayerMaterialPooling_#55                         0.004891        -0.021969       No                            
ORB_v3_encoder_node_features_85                              0.004888        -0.029743       No                            
ORB_v3_layer_3_40                                            0.004886        0.069939        No                            
ORB_v3_initial_atom_embedding_193                            0.004884        0.250713        Yes                           
ORB_v3_layer_3_24                                            0.004883        -0.081169       No                            
ORB_v3_layer_1_131                                           0.004876        -0.073603       No                            
MVL16_Eform_MP_2019_4                                        0.004842        -0.119528       Yes                           
ORB_v3_initial_atom_embedding_223                            0.004840        0.088375        No                            
coGN_ReadoutComponent2_Feature107_fold0                      0.004839        -0.171126       Yes                           
coGN_ReadoutComponent1_Feature3_fold0                        0.004835        0.510910        Yes                           
ORB_v3_layer_4_5                                             0.004828        0.093071        No                            
coGN_ReadoutComponent3_Feature102_fold0                      0.004825        -0.107932       Yes                           
ORB_v3_layer_4_133                                           0.004820        -0.046267       No                            
coGN_ReadoutComponent2_Feature122_fold0                      0.004818        -0.088628       No                            
ORB_v3_initial_atom_embedding_26                             0.004814        0.078217        No                            
coGN_ReadoutComponent1_Feature128_fold0                      0.004805        0.160235        Yes                           
coGN_ReadoutComponent1_Feature99_fold0                       0.004802        -0.084893       No                            
coGN_ReadoutComponent1_Feature82_fold0                       0.004800        0.040793        No                            
